35202,AAB,1997,Riziká technických zariadení,"[SINAY, Juraj - MAJER, Ivan - ORAVEC, Milan - PAČAIOVÁ, Hana - SLOBODA, Aurel]",Juraj Sinay ... [et al.],31
0010688,AAB,1998,Rozmerová analýza a teória podobnosti a modelovania v praxi,"[ČARNOGURSKÁ, Mária]",Mária Čarnogurská,20
145442,AAB,1998,Pružné výrobné bunky,"[HAJDUK, Mikuláš]",Mikuláš Hajduk,1
57122,AAB,1998,Intenzifikácia technickej spôsobilosti ťažkých nosných konštrukcií,"[TREBUŇA, František - BIGOŠ, Peter]","František Trebuňa, Peter Bigoš",0
0011677,AAB,1999,Teória rezania kovov,"[BEŇO, Jozef]",Jozef Beňo,74
41350,AAB,1999,Metódy posudzovania technických rizík,"[ORAVEC, Milan - HUŽVÁR, Richard]","Milan Oravec, Richard Hužvár",9
57141,AAB,1999,Tenkostenné nosné prvky a konštrukcie,"[TREBUŇA, František - ŠIMČÁK, František]","František Trebuňa, František Šimčák",0
0011678,AAB,2000,Matematické modelovanie a simulácia technologických procesov - ťahanie,"[SPIŠÁK, Emil]",Emil Spišák,0
0011762,AAB,2000,Základy matematického a fyzikálneho modelovania v mechanike tekutín a termodynamike,"[ČARNOGURSKÁ, Mária]",Mária Čarnogurská,21
0012127,AAB,2000,Automatizovaná a pružná montáž,"[KOVÁČ, Jozef - SVOBODA, Milan - LÍŠKA, Ondrej]","Jozef Kováč, Milan Svoboda, Ondrej Líška",11
0012313,AAB,2000,Žacie stoly zberových strojov,"[SLOBODA, Aurel - JECH, Ján]","Aurel Sloboda, Ján Jech, Juraj Sinay",2
0013266,AAB,2000,Program COSMOSM,"[IVANČO, Vladimír - KUBÍN, Karol - KOSTOLNÝ, Karol]","Vladimír Ivančo, Karol Kubín, Karol Kostolný",11
0016052,AAB,2000,Digitálne ochrany elektrických strojov,"[JANÍČEK, František - CHLADNÝ, Vladimír - BELÁŇ, Albert - FLESCHOVÁ, Z.]",F. Janíček ... [et al.],3
11739,AAB,2001,Biomechanizmy,"[ŽIVČÁK, Jozef - HUDÁK, Radovan]","Jozef Živčák, Radovan Hudák",12
0014972,AAB,2002,Quo vadis palivá a energetika?,"[HORBAJ, Peter - IMRIŠ, Ivan]","Peter Horbaj, Ivan Imriš",3
0016022,AAB,2002,Nové typy pružných hriadeľových spojok,"[HOMIŠIN, Jaroslav]",Jaroslav Homišin,11
27827,AAB,2003,Podrobná stratégia ekonomického rozvoja Hnileckej doliny,"[GREGA, Robert - HUDEC, Oto - MAKARA, Imrich - MALATINSKÝ, Peter - PAVELEKOVÁ, Darina - TAPÁK, Peter - URBANČÍKOVÁ, Nataša - BARTOŠ, Michal]",Robert Grega ... [et al.],1
28270,AAB,2003,Delenie materiálu,"[VASILKO, Karol - KMEC, Ján]","Karol Vasilko, Ján Kmec",31
31360,AAB,2003,Environmentálne inžinierstvo a manažérstvo,"[MAJERNÍK, Milan - MESÁROŠ, Marián - BOSÁK, Martin]","Milan Majerník, Marián Mesároš, Martin Bosák",7
29807,AAB,2004,Mechatronika,"[GMITERKO, Alexander]",Alexander Gmiterko,1
31089,AAB,2004,Miniatúrne potrubné stroje,"[GMITERKO, Alexander - KELEMEN, Michal]","Alexander Gmiterko, Michal Kelemen",4
37564,AAB,2004,Konštrukcia automobilov 1,"[SLOBODA, Aurel - BUGÁR, Tibor - TOMAŠKOVÁ, Marianna - SLOBODA, Aurel ml. - PIĽA, Ján]",Aurel Sloboda ... [et al.],8
37672,AAB,2004,Technologické a materiálové činitele obrábania,"[BEŇO, Jozef - MAŇKOVÁ, Ildikó]","Jozef Beňo, Ildikó Maňková",17
37912,AAB,2004,Lisovateľnosť plechov,"[HRIVŇÁK, Andrej - EVIN, Emil]","Andrej Hrivňák, Emil Evin",26
40695,AAB,2004,ATTRAIN,"[ŠIMŠÍK, Dušan - GALAJDOVÁ, Alena - ARA, Giuliana - MICANGELI, Andrea - ANNAN, Angus]",Dušan Šimšík ... [et al.],0
56952,AAB,2004,Odolnosť prvkov mechanických sústav,"[TREBUŇA, František - ŠIMČÁK, František]","František Trebuňa, František Šimčák",0
57690,AAB,2004,Robotika,"[PALKO, Anton - SMRČEK, Juraj]","Anton Palko, Juraj Smrček",11
140133,AAB,2005,Bewertung der Mineralrohstofflagerstätten,"[CEHLÁR, Michal - MIHOK, Jozef]","Michal Cehlár, Jozef Mihok",0
